,price,address,price_address_concat,count_address,duplicate,county_1,manual_label
293," €365,000.00 ","Apartment 259, Asgard, Custom House Harbour Apartments, Dublin 1",,1,,Co. Dublin,
294," €650,000.00 ","6 Foxbrook, Curraha Road, Ratoath, Co. Meath",,1,,Co. Meath,
295," €595,000.00 ","30 Clonliffe Road (plus Attic Conversion), Drumcondra, Dublin 3",,1,,Co. Dublin,
296," €450,000.00 ","61 Church Avenue, Drumcondra, Dublin 9",,1,,Co. Dublin,
297," €350,000.00 ","Rylinn, Ballintemple, Castlegar, Co. Galway",,1,,Co. Galway,
298," €795,000.00 ","Liwara, Shanganagh Road, Killiney, Co. Dublin",,1,,Co. Dublin,
299," €600,000.00 ","Valley View Cottage, Barracurragh, Gorey, Co. Wexford",,1,,Co. Wexford,
300," €3,750,000.00 ","Brentwood, Sydenham Road, Dundrum, Dublin 14",,1,,Co. Dublin,
301," €2,500,000.00 ","Alma, Park, Wexford Town, Co. Wexford",,1,,Co. Wexford,
302," €320,000.00 ","29 An Gleib, Ballivor, Co. Meath",,1,,Co. Meath,
303," €295,000.00 ","St Teresa's, Mail Coach Road, Sligo, Co. Sligo",,1,,Co. Sligo,
304," €675,000.00 ","28 Springfield Crescent, Templeogue, Templeogue, Dublin 6W",,1,,Co. Dublin,
305," €425,000.00 ","Ballinamore, Kiltimagh, Co. Mayo",,1,,Co. Mayo,
306," €249,000.00 ","Miskaun Glebe, Aughnasheelan, Co. Leitrim",,1,,Co. Leitrim,
308," €345,000.00 ","Gleann na Mona, Ballymoneen Road , Knocknacarra, Co. Galway",,1,,Co. Galway,
309," €220,000.00 ","The Quay, Thomastown, Co. Kilkenny",,1,,Co. Kilkenny,
310," €575,000.00 ","Ballyvoole, Inistioge, Co. Kilkenny",,1,,Co. Kilkenny,
311," €175,000.00 ","311 Cathedral Road, Gurranabraher, Co. Cork",,1,,Co. Cork,
